Cepa,Linea,Campo,Célula,Amastigotes
Tul,AC16,2,6,0
Tul,AC16,2,7,8
Tul,AC16,2,8,0
Tul,AC16,2,9,0
Tul,AC16,2,10,6
Tul,AC16,2,11,0
Tul,AC16,2,12,0
Tul,AC16,2,13,8
Tul,AC16,2,14,2
Tul,AC16,2,15,0
Tul,AC16,2,16,0
Tul,AC16,2,17,9
Tul,AC16,2,18,0
Tul,AC16,2,19,1
Tul,AC16,2,20,0
Tul,AC16,2,21,7
Tul,AC16,2,22,1
Tul,AC16,2,23,0
Tul,AC16,2,24,5
Tul,AC16,2,25,2
Tul,AC16,2,26,0
Tul,AC16,2,27,3
Tul,AC16,2,28,4
Tul,AC16,2,29,4
Tul,AC16,2,30,0
Tul,AC16,2,31,7
Tul,AC16,2,32,0
Tul,AC16,2,33,1
Tul,THP1,5,1,0
Tul,THP1,5,2,0
Tul,BeWo,2,1,8
Tul,BeWo,2,2,6
Tul,BeWo,2,3,0
Tul,BeWo,2,4,3
Tul,BeWo,2,5,2
Tul,BeWo,2,6,0
Tul,BeWo,2,7,10
Tul,BeWo,2,8,3
Tul,BeWo,2,9,2
Tul,BeWo,2,10,0
Tul,BeWo,2,11,3
Tul,BeWo,2,12,1
Tul,BeWo,2,13,2
Tul,BeWo,2,14,2
Tul,BeWo,2,15,2
Tul,BeWo,2,16,1
Tul,Caco2,2,1,0
Tul,Caco2,2,2,0
Tul,Caco2,2,3,3
Tul,Caco2,2,4,0
Tul,Caco2,2,5,0
Tul,Caco2,2,6,0
Tul,Caco2,2,7,2
Tul,Caco2,2,8,0
Tul,Caco2,2,9,5
Tul,Caco2,2,10,3
Tul,Caco2,2,11,0
Tul,Caco2,2,12,0
Tul,Caco2,2,13,0
Tul,Caco2,2,14,1
Tul,Caco2,2,15,0
Tul,Caco2,2,16,0
Tul,Caco2,2,17,0
Tul,Caco2,2,18,0
Tul,Caco2,2,19,6
Tul,Caco2,2,20,0
Tul,HeLa,1,1,0
Tul,HeLa,1,2,2
Tul,HeLa,1,3,2
Tul,HeLa,1,4,0
Tul,HeLa,1,5,2
Tul,HeLa,1,6,0
Tul,HeLa,1,7,4
Tul,HeLa,1,8,4
Tul,HeLa,1,9,1
Tul,HeLa,1,10,4
Tul,HeLa,1,11,0
Tul,HeLa,1,12,5
Tul,HeLa,1,13,1
Tul,HeLa,1,14,1
Tul,HeLa,1,15,4
Tul,HeLa,1,16,7
Tul,HeLa,1,17,3
Tul,HeLa,1,18,0
Tul,HeLa,1,19,0
Tul,HeLa,1,20,0
Tul,HeLa,1,21,0
Tul,HeLa,1,22,7
Tul,HeLa,1,23,0
Tul,HeLa,1,24,0
Tul,HeLa,1,25,0
Tul,HeLa,1,26,0
Tul,HeLa,1,27,0
Tul,HeLa,1,28,0
Tul,HeLa,1,29,8
Tul,HeLa,1,30,7
Tul,HeLa,1,31,0
Tul,HeLa,1,32,0
Tul,HeLa,1,33,5
Tul,HeLa,1,34,2
Dm,Vero,4,1,14
Dm,Vero,4,2,3
Dm,Vero,4,3,13
Dm,Vero,4,4,5
Dm,Vero,4,5,0
Dm,Vero,4,6,4
Dm,Vero,4,7,1
Dm,Vero,4,8,0
Dm,Vero,4,9,0
Dm,Vero,4,10,0
Tul,AC16,1,1,0
Tul,AC16,1,2,1
Tul,AC16,1,3,1
Tul,AC16,1,4,8
Tul,AC16,1,5,0
Tul,AC16,1,6,10
Tul,AC16,1,7,0
Tul,AC16,1,8,3
Tul,AC16,1,9,0
Tul,AC16,1,10,0
Tul,AC16,1,11,0
Tul,AC16,1,12,15
Tul,AC16,1,13,2
Tul,AC16,1,14,16
Tul,AC16,1,15,0
Tul,AC16,1,16,0
Tul,AC16,1,17,0
Tul,AC16,1,18,0
Tul,AC16,1,19,1
Tul,AC16,1,20,5
Tul,AC16,1,21,3
Tul,AC16,1,22,0
Tul,AC16,1,23,5
Tul,AC16,1,24,1
Tul,AC16,1,25,0
Tul,AC16,1,26,3
Tul,AC16,1,27,10
Tul,AC16,1,28,4
Tul,AC16,1,29,7
Tul,AC16,1,30,3
Tul,AC16,1,31,0
Tul,AC16,1,32,0
Tul,AC16,1,33,2
Tul,AC16,1,34,0
Tul,AC16,1,35,1
Tul,AC16,1,36,0
Tul,AC16,4,1,0
Tul,AC16,4,2,1
Tul,AC16,4,3,1
Tul,AC16,4,4,1
Tul,AC16,4,5,3
Tul,AC16,4,6,0
Tul,AC16,4,7,1
Tul,AC16,4,8,7
Tul,AC16,4,9,0
Tul,AC16,4,10,0
Tul,AC16,4,11,0
Tul,AC16,4,12,5
Tul,AC16,4,13,0
Tul,AC16,4,14,0
Tul,AC16,4,15,22
Tul,AC16,4,16,5
Tul,AC16,4,17,10
Tul,AC16,4,18,12
Tul,AC16,4,19,1
Tul,AC16,4,20,0
Tul,AC16,4,21,5
Tul,AC16,4,22,0
Tul,AC16,4,23,5
Tul,AC16,4,24,1
Dm,Vero,2,1,6
Dm,Vero,2,2,2
Dm,Vero,2,3,2
Dm,Vero,2,4,1
Dm,Vero,2,5,2
Dm,Vero,2,6,1
Dm,Vero,2,7,24
Dm,Vero,2,8,5
Dm,Vero,2,9,25
Dm,Vero,2,10,8
Dm,Vero,2,11,11
Dm,Vero,2,12,4
Dm,AC16,1,1,0
Dm,AC16,1,2,0
Dm,AC16,1,3,2
Dm,AC16,1,4,3
Dm,AC16,1,5,8
Dm,AC16,1,6,6
Dm,AC16,1,7,1
Dm,AC16,1,8,9
Dm,AC16,1,9,2
Dm,AC16,1,10,0
Dm,AC16,1,11,16
Dm,AC16,1,12,3
Dm,AC16,1,13,4
Dm,AC16,1,14,7
Dm,AC16,1,15,0
Dm,AC16,1,16,0
Dm,AC16,1,17,0
Dm,AC16,1,18,4
Dm,AC16,1,19,4
Dm,AC16,1,20,0
Dm,AC16,1,21,1
Dm,AC16,1,22,0
Dm,AC16,1,23,3
Dm,AC16,1,24,0
Dm,AC16,1,25,4
Dm,AC16,1,26,1
Dm,AC16,1,27,4
Dm,THP1,2,1,3
Dm,THP1,2,2,5
Dm,THP1,2,3,7
Dm,Vero,3,1,8
Dm,Vero,3,2,3
Dm,Vero,3,3,0
Dm,Vero,3,4,19
Dm,Vero,3,5,0
Dm,Vero,3,6,5
Dm,Vero,3,7,10
Dm,Vero,3,8,0
Dm,Vero,3,9,0
Dm,Vero,3,10,2
Dm,Vero,3,11,6
Dm,Vero,3,12,0
Dm,Vero,3,13,0
Dm,HeLa,3,1,0
Dm,HeLa,3,2,0
Dm,HeLa,3,3,0
Dm,HeLa,3,4,1
Dm,HeLa,3,5,0
Dm,HeLa,3,6,4
Dm,HeLa,3,7,0
Dm,HeLa,3,8,0
Dm,HeLa,3,9,6
Dm,HeLa,3,10,7
Dm,HeLa,3,11,0
Dm,HeLa,3,12,0
Dm,HeLa,3,13,0
Dm,HeLa,3,14,1
Dm,HeLa,3,15,1
Dm,HeLa,3,16,0
Dm,HeLa,3,17,0
Dm,HeLa,3,18,0
Dm,HeLa,3,19,0
Dm,HeLa,3,20,0
Dm,HeLa,3,21,3
Dm,HeLa,3,22,0
Dm,HeLa,3,23,0
Dm,HeLa,3,24,0
Dm,HeLa,3,25,0
Dm,HeLa,3,26,7
Dm,HeLa,3,27,7
Dm,HeLa,3,28,0
Dm,HeLa,3,29,1
Dm,HeLa,3,30,0
Dm,HeLa,3,31,6
Dm,HeLa,3,32,2
Dm,HeLa,3,33,1
Dm,HeLa,3,34,0
Dm,HeLa,3,35,0
Dm,HeLa,3,36,1
Tul,AC16,5,1,0
Tul,AC16,5,2,5
Tul,AC16,5,3,1
Tul,AC16,5,4,0
Tul,AC16,5,5,2
Tul,AC16,5,6,0
Tul,AC16,5,7,2
Tul,AC16,5,8,3
Tul,AC16,5,9,1
Tul,AC16,5,10,0
Tul,AC16,5,11,0
Tul,AC16,5,12,0
Tul,AC16,5,13,0
Tul,AC16,5,14,0
Tul,AC16,5,15,3
Tul,AC16,5,16,4
Tul,AC16,5,17,0
Tul,AC16,5,18,1
Tul,AC16,5,19,1
Tul,AC16,5,20,0
Tul,AC16,5,21,0
Tul,AC16,5,22,1
Tul,AC16,5,23,1
Tul,AC16,5,24,0
Tul,AC16,5,25,0
Tul,AC16,5,26,0
Tul,AC16,5,27,0
Tul,AC16,5,28,5
Tul,AC16,5,29,0
Dm,Caco2,5,1,15
Tul,Vero,5,1,4
Tul,Vero,5,2,10
Tul,Vero,5,3,1
Tul,Vero,5,4,4
Tul,Vero,5,5,5
Tul,Vero,5,6,0
Tul,Vero,5,7,1
Tul,Vero,5,8,0
Tul,Vero,5,9,5
Tul,Vero,5,10,0
Tul,Vero,5,11,0
Tul,Vero,5,12,0
Tul,Vero,5,13,3
Tul,Vero,5,14,4
Tul,Vero,5,15,0
Tul,Vero,5,16,0
Tul,Vero,5,17,6
Tul,Vero,5,18,0
Tul,Vero,5,19,2
Tul,Vero,5,20,0
Tul,Vero,5,21,0
Tul,Vero,5,22,0
Tul,Vero,5,23,0
Tul,Vero,5,24,7
Dm,AC16,3,1,6
Dm,AC16,3,2,0
Dm,AC16,3,3,2
Dm,AC16,3,4,4
Dm,AC16,3,5,5
Dm,AC16,3,6,0
Dm,AC16,3,7,2
Dm,AC16,3,8,0
Dm,AC16,3,9,1
Dm,AC16,3,10,3
Dm,AC16,3,11,0
Dm,AC16,3,12,0
Dm,AC16,3,13,2
Dm,AC16,3,14,0
Dm,AC16,3,15,2
Dm,AC16,3,16,2
Dm,AC16,3,17,0
Dm,AC16,3,18,1
Dm,AC16,3,19,0
Dm,AC16,3,20,0
Dm,AC16,3,21,2
Dm,AC16,3,22,0
Dm,AC16,3,23,6
Dm,AC16,3,24,0
Dm,AC16,3,25,5
Dm,AC16,3,26,0
Dm,AC16,3,27,2
Dm,AC16,3,28,3
Dm,AC16,3,29,6
Dm,AC16,3,30,0
Dm,AC16,3,31,0
Dm,AC16,3,32,4
Dm,AC16,3,33,1
Dm,AC16,3,34,0
Dm,AC16,3,35,1
Dm,AC16,3,36,1
Dm,AC16,3,37,0
Dm,AC16,3,38,2
Dm,AC16,3,39,0
Dm,BeWo,1,1,7
Dm,BeWo,1,2,2
Dm,BeWo,1,3,12
Dm,BeWo,1,4,7
Dm,BeWo,1,5,1
Dm,BeWo,1,6,10
Dm,BeWo,1,7,8
Dm,BeWo,1,8,7
Dm,BeWo,1,9,7
Dm,BeWo,1,10,1
Dm,BeWo,1,11,9
Dm,BeWo,1,12,2
Dm,BeWo,1,13,6
Dm,BeWo,1,14,6
Dm,BeWo,1,15,5
Dm,BeWo,1,16,2
Dm,BeWo,1,17,5
Dm,BeWo,1,18,6
Dm,BeWo,1,19,10
Tul,Caco2,1,1,2
Tul,Caco2,1,2,0
Tul,Caco2,1,3,7
Tul,Caco2,1,4,1
Tul,Caco2,1,5,1
Tul,Caco2,1,6,0
Tul,Caco2,1,7,0
Tul,Caco2,1,8,0
Tul,Caco2,1,9,0
Tul,Caco2,1,10,8
Tul,Caco2,1,11,1
Tul,Caco2,1,12,7
Tul,Caco2,4,1,0
Tul,Caco2,4,2,2
Tul,Caco2,4,3,1
Tul,Caco2,4,4,4
Tul,Caco2,4,5,0
Tul,Caco2,4,6,3
Tul,Caco2,4,7,12
Tul,Caco2,4,8,5
Tul,AC16,3,1,0
Tul,AC16,3,2,1
Tul,AC16,3,3,0
Tul,AC16,3,4,0
Tul,AC16,3,5,7
Tul,AC16,3,6,0
Tul,AC16,3,7,0
Tul,AC16,3,8,2
Tul,AC16,3,9,0
Tul,AC16,3,10,8
Tul,AC16,3,11,0
Tul,AC16,3,12,1
Tul,AC16,3,13,1
Tul,AC16,3,14,0
Tul,AC16,3,15,0
Tul,AC16,3,16,0
Tul,AC16,3,17,0
Tul,AC16,3,18,1
Tul,AC16,3,19,2
Tul,AC16,3,20,0
Tul,AC16,3,21,5
Tul,AC16,3,22,1
Tul,AC16,3,23,5
Tul,AC16,3,24,2
Tul,AC16,3,25,0
Tul,AC16,3,26,0
Tul,AC16,3,27,0
Tul,AC16,3,28,4
Tul,AC16,3,29,1
Dm,BeWo,2,1,1
Dm,BeWo,2,2,6
Dm,BeWo,2,3,1
Dm,BeWo,2,4,0
Dm,BeWo,2,5,1
Dm,BeWo,2,6,14
Dm,BeWo,2,7,3
Dm,BeWo,2,8,0
Dm,BeWo,2,9,2
Dm,BeWo,2,10,3
Dm,BeWo,2,11,4
Tul,Caco2,3,1,8
Tul,Caco2,3,2,0
Tul,Caco2,3,3,0
Tul,Caco2,3,4,1
Tul,Caco2,3,5,2
Tul,Caco2,3,6,0
Tul,Caco2,3,7,0
Tul,Caco2,3,8,0
Tul,Caco2,3,9,0
Tul,Caco2,3,10,0
Tul,Caco2,3,11,8
Tul,HeLa,4,1,0
Tul,HeLa,4,2,0
Tul,HeLa,4,3,0
Tul,HeLa,4,4,2
Tul,HeLa,4,5,0
Tul,HeLa,4,6,0
Tul,HeLa,4,7,0
Tul,HeLa,4,8,0
Tul,HeLa,4,9,0
Tul,HeLa,4,10,0
Tul,HeLa,4,11,0
Tul,HeLa,4,12,0
Tul,HeLa,4,13,0
Tul,HeLa,4,14,0
Tul,HeLa,4,15,0
Tul,HeLa,4,16,8
Tul,HeLa,4,17,0
Tul,HeLa,4,18,0
Tul,HeLa,4,19,1
Tul,HeLa,4,20,0
Tul,HeLa,4,21,0
Tul,HeLa,4,22,0
Tul,HeLa,4,23,6
Tul,HeLa,4,24,0
Tul,HeLa,4,25,0
Tul,HeLa,4,26,0
Tul,HeLa,4,27,0
Tul,HeLa,4,28,0
Tul,HeLa,4,29,0
Tul,HeLa,4,30,0
Tul,HeLa,4,31,0
Tul,HeLa,4,32,0
Tul,HeLa,4,33,4
Tul,HeLa,4,34,0
Tul,HeLa,4,35,0
Tul,HeLa,4,36,0
Tul,HeLa,4,37,0
Tul,HeLa,4,38,3
Dm,Caco2,4,1,5
Dm,Caco2,2,1,3
Dm,Caco2,2,2,9
Dm,Caco2,2,3,7
Tul,BeWo,4,1,4
Tul,BeWo,4,2,2
Tul,BeWo,4,3,13
Tul,BeWo,4,4,6
Tul,BeWo,4,5,1
Tul,BeWo,4,6,11
Tul,BeWo,4,7,0
Tul,BeWo,4,8,0
Tul,BeWo,4,9,0
Tul,BeWo,4,10,1
Tul,BeWo,4,11,0
Tul,BeWo,4,12,3
Tul,BeWo,4,13,3
Tul,BeWo,4,14,3
Tul,BeWo,4,15,0
Tul,BeWo,4,16,2
Tul,BeWo,4,17,2
Tul,BeWo,4,18,0
Tul,BeWo,4,19,2
Tul,BeWo,4,20,1
Tul,BeWo,4,21,1
Tul,BeWo,4,22,0
Dm,BeWo,3,1,4
Dm,BeWo,3,2,0
Dm,BeWo,3,3,0
Dm,BeWo,3,4,0
Dm,BeWo,3,5,0
Dm,BeWo,3,6,0
Dm,BeWo,3,7,0
Dm,BeWo,3,8,0
Dm,BeWo,3,9,6
Dm,BeWo,3,10,5
Dm,BeWo,3,11,1
Dm,BeWo,3,12,3
Dm,BeWo,3,13,0
Dm,BeWo,3,14,15
Dm,BeWo,3,15,5
Dm,BeWo,3,16,4
Dm,BeWo,3,17,12
Dm,BeWo,3,18,2
Dm,BeWo,3,19,9
Dm,BeWo,3,20,16
Tul,THP1,3,1,0
Tul,THP1,3,2,0
Tul,THP1,3,3,0
Tul,THP1,3,4,0
Dm,HeLa,5,1,0
Dm,HeLa,5,2,0
Dm,HeLa,5,3,0
Dm,HeLa,5,4,0
Dm,HeLa,5,5,0
Dm,HeLa,5,6,1
Dm,HeLa,5,7,3
Dm,HeLa,5,8,0
Dm,HeLa,5,9,0
Dm,HeLa,5,10,0
Dm,HeLa,5,11,0
Dm,HeLa,5,12,3
Dm,HeLa,5,13,0
Dm,HeLa,5,14,1
Dm,HeLa,5,15,0
Dm,HeLa,5,16,0
Dm,HeLa,5,17,0
Dm,HeLa,5,18,0
Dm,HeLa,5,19,0
Dm,HeLa,5,20,5
Dm,HeLa,5,21,1
Dm,HeLa,5,22,1
Dm,HeLa,5,23,0
Dm,HeLa,5,24,7
Dm,HeLa,5,25,0
Dm,HeLa,5,26,0
Dm,HeLa,5,27,1
Dm,HeLa,5,28,1
Dm,HeLa,5,29,0
Dm,HeLa,5,30,0
Dm,HeLa,5,31,0
Dm,HeLa,5,32,1
Dm,HeLa,5,33,0
